title,appId,url,icon,developer,developerId,priceText,currency,price,free,summary,scoreText,score
HotSchedules,com.tdr3.hs.android,https://play.google.com/store/apps/details?id=com.tdr3.hs.android,https://play-lh.googleusercontent.com/cudBRDzsvi50wundWmjnvvaotvejOERDJP4XDur6VtmeiI3aBdGEYmqNVc3Knev5BA,HotSchedules,HotSchedules,$2.99,$,2.99,false,Better Together,2.9,2.9406214
CryptoTab Browser Pro—mine on a PRO level,pro.cryptotab.android,https://play.google.com/store/apps/details?id=pro.cryptotab.android,https://play-lh.googleusercontent.com/ZhFlRgY094ZawJ2fu7IUWqfSmGcKt5ygPBu4OOVR_GFOi4m-8g59z5_husjK_F4hyQ,CryptoCompany OU,7473884676694961129,$0.99,$,0.99,false,Increase your mining speed with a special version of CryptoTab Browser,3.8,3.830119
Scanner Radio Pro - Fire and Police Scanner,com.scannerradio_pro,https://play.google.com/store/apps/details?id=com.scannerradio_pro,https://play-lh.googleusercontent.com/HlgggGJuLjHjciDMAPociJQy66-caro6_-UNlcFEDygqX3k7C1XS3ooG6X5baFfkrA,GordonEdwards.net LLC,GordonEdwards.net+LLC,$2.99,$,2.99,false,The only scanner app that can alert you when major events are happening.,4.6,4.5813828
Navigation Pro: Google Maps Navi on Samsung Watch,smartwatchstudios.app.gears3navigation,https://play.google.com/store/apps/details?id=smartwatchstudios.app.gears3navigation,https://play-lh.googleusercontent.com/AEXCG0OBJoHKiDR9l9706kULLCyhI02zjWTFHHsmeZYGUq0hBLuvkVLqPEUaA-Ulh6c,Smartwatch Studios,Smartwatch+Studios,$2.99,$,2.99,false,Navigate with your watch and keep the phone in your pocket!,4.3,4.286608
"Ultimate Ghost Detector (real EMF, EVP recorder)",xyz.mreprogramming.ultimateghostdetector,https://play.google.com/store/apps/details?id=xyz.mreprogramming.ultimateghostdetector,https://play-lh.googleusercontent.com/VTsM5x8kSeimYmMaW4AqApiVzUtlCur549a9VLXJE221BtIG1vrd7Vp7UOkwbWIYHA,MRE Programming,MRE+Programming,$2.79,$,2.79,false,Powerful tool for paranormal investigations and more,4.3,4.2827005
