title,appId,url,icon,developer,developerId,priceText,currency,price,free,summary,scoreText,score
Crash Bandicoot: On the Run!,com.king.crash,https://play.google.com/store/apps/details?id=com.king.crash,https://play-lh.googleusercontent.com/D5cIl0bz9miRWcDyBNHk2VnRi9vNfsI7321ZCdK6lYvDjMqcAtfmiTlZGsjDhy4bRUpS,King,6577204690045492686,FREE,undefined,0,true,"Run and spin, swipe and smash, in an all-new Crash Bandicoot adventure!",4.5,4.4577017
Sword Play! Ninja Slice Runner 3D,com.barsstudios.swordplay,https://play.google.com/store/apps/details?id=com.barsstudios.swordplay,https://play-lh.googleusercontent.com/z6VQRVFHHXyZao4P8-po9KsB3rLC-i6HsyelstDympf8EHW0eYrYzsNlEFEO_z3xoQ,CASUAL AZUR GAMES,8232174611457920989,FREE,undefined,0,true,Slash your way through stickman samurai! Stylish dash &amp; cut action game,3.6,3.5762627
